inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;0;3;2;120;1.0157444814720005e6;38.105384427999994
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;3;2;120;1.1227670569003324e6;77.39681604699999
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;0;3;2;120;1.2479698507751648e6;79.41008940900001
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;0;3;2;120;1.2670622292699963e6;97.071355537
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;3;3;120;491817.31238533324;16.166690048
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;0;3;3;120;625699.9765989999;50.191816282
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;0;3;3;120;819380.5112079997;10.239476460999999
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;0;3;3;120;904744.9906321247;21.072189779
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;3;3;120;444834.6006249995;28.476595168
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;0;3;3;120;598949.2241629997;36.291600775
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;0;3;3;120;1.016178898673e6;72.851202229
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;3;3;120;1.1173158992743324e6;98.46155537899999
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;0;3;3;120;1.2404788122639942e6;85.521062696
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;0;3;3;120;1.2549179106999915e6;92.344424711
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;3;4;120;491125.759888;35.181854674
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;0;3;4;120;625209.669212;53.400594908
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;0;3;4;120;817374.5142460007;9.692766108999999
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;0;3;4;120;904889.4773026663;41.192790779
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;3;4;120;444323.5139649985;46.127089404
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;0;3;4;120;601050.7777559997;52.664036966
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;0;3;4;120;1.0161863489199989e6;90.880688069
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;3;4;120;1.120444240356999e6;99.67177905
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;0;3;4;120;1.2407377203179952e6;94.196560831
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;0;3;4;120;1.2611391569179934e6;101.593783004
