inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;2;2;120;1.1165334052826657e6;52.280201264
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;2;3;120;492287.79870299995;16.411516136000003
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;2;3;120;442072.7516179987;8.477120424
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;2;3;120;1.1194561527083325e6;76.665214323
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;2;4;120;490166.94560966664;20.662070421
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;2;4;120;443686.9188209995;23.912579411000003
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;2;4;120;1.114157262479999e6;94.13129990099999
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;3;2;120;494056.26286633284;9.280361414
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;3;2;120;443767.9299033326;7.155361279
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;3;2;120;1.1227670569003324e6;77.854282576
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;3;3;120;491817.31238533324;16.079774477
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;3;3;120;444834.6006249995;28.374826854000002
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;3;3;120;1.1173158992743324e6;98.57077290899998
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;3;4;120;491125.759888;34.808730702999995
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;3;4;120;444323.5139649985;45.92428856
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;3;4;120;1.120444240356999e6;99.65117258599999
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;4;2;120;491219.2634573334;12.579175219000001
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;4;2;120;444042.79523366515;12.880341214
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;4;2;120;1.1108297729086657e6;83.180610684
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;4;3;120;492069.5699616666;21.347081944000003
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;4;3;120;441957.748910332;27.500759206
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;4;3;120;1.118756065125333e6;92.53638390200001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;4;4;120;490785.07096899976;25.250260558
